word,weight
putus tali gantung,-2
gelebah,-2
gobar hati,-2
tersentuh (perasaan),-1
isak,-5
larat hati,-3
nelangsa,-3
remuk redam,-5
tidak segan,-2
gemar,-1
tak segan,-1
sesal,-4
pengen,-2
penghayatan,-2
absorpsi,-1
linu,-4
salah benang,-1
sakit,-5
lara,-5
zuhud,-1
mencederai,-4
mengingkari,-4
maaf,-3
mengkhianat,-4
mencelakai,-5
mulu,-1
ngga,-2
borong,-1
lever,-2
kasian,-3
gamau,-4
doang,-1
pulas,-1
abis,-2
coba,-1
kangen,-3
kalau,-1
maunya,-1
seandainya,-1
marilah,-1
bener,-1
yaudah,-4
nggak,-3
gatau,-1
apaan,-4
ngakak,-2
atuh,-1
sekali,-1
menarik hati,-1
cedayam,-2
kece,-3
termakan,-1
belom,-1
malem,-1
mencekau,-2
menduga,-1
menyuarakan,-1
memprediksi,-1
membunyikan,-1
menerka,-1
menaksir,-1
mengantisipasi,-1
nangis,-5
rompok,-2
soalnya,-1
griya,-1
gubuk,-2
anjir,-3
putus jiwa,-5
berlalu dr dunia,-5
putus nyawa,-5
menarik napas penghabisan,-5
membuang nyawa,-5
hilang hayat,-4
putus napas,-4
kojor,-3
berputih tulang,-2
buntu,-3
berkalang tanah,-2
koit,-5
putus usia,-3
buntet,-2
tamat riwayatnya,-3
menamatkan riwayatnya,-3
hilang nyawa,-5
males,-4
asih,-1
kasih sayang,-1
kekaguman,-1
dendam berahi,-4
rindu,-3
afeksi,-2
cinta kasih,-1
renjana,-2
pagina,-2
tresna,-1
filantropi,-1
cintrong,-1
cetusan,-1
katanya,-1
rintisan,-2
kronologi,-1
jalan buntu,-4
rintis,-2
jalan bebas hambatan,-1
purwa,-2
lanjut umur,-3
bangkot,-4
sepuh,-3
lanjut usia,-3
lepra,-5
bau tanah,-4
berumur,-2
purba,-3
jomblo,-3
gacoan,-2
tambatan hati,-2
sir-siran,-2
malam,-1
tayib,-1
tayibah,-1
necis,-1
estetis,-1
baper,-4
perfek,-1
tolong,-2
sayid,-1
radang,-4
didih,-4
ngantuk,-2
sirap hati,-2
rampang,-2
kecil hati,-4
bertelinga merah,-3
tersirap hatinya,-2
merah telinga,-3
mencak-mencak,-5
gaada,-3
manjur,-1
mujarab,-1
beber,-2
singkap,-3
penangkis,-3
mending,-3
akibat,-3
satir,-2
nyanyian,-2
menyibuk,-2
gara,-4
dikit,-4
ilang,-5
kepeng,-2
bodo,-5
air,-1
suri,-1
ihh,-5
asasi,-3
menenes,-2
tumpuan,-3
fondasi,-3
beliin,-1
sekam,-3
maafin,-3
memahirkan,-1
menggalakkan memanas-manasi,-3
ngambek,-5
ampun,-3
terbalik akal,-4
tidak masuk akal,-4
gangguan jiwa,-4
majenun,-2
gelo,-2
gila-gila,-4
kalap,-3
sedeng,-2
berubah akal,-2
serem,-5
terlalu,-3
sakit jiwa,-4
gendeng,-2
berubah ingatan,-3
sinting,-5
gila,-4
sakit ingatan,-4
sesat akal,-2
duh,-4
emg,-1
hujan,-2
aduh,-3
cerita khayal,-2
typo,-2
langkah baik,-1
isapan jempol,-3
engah,-4
mafhum,-1
fiksi,-2
omong kosong,-4
bales,-3
profit,-1
waris,-2
selisih,-4
senjang,-4
bareng,-3
ekstasi,-3
laper,-3
hendaknya,-1
membandel,-5
ngaku,-3
kiranya,-1
telat,-5
kopong,-4
ngerti,-1
keduniaan,-2
nol,-3
nyari,-2
sorry,-4
peranakan,-3
bastar,-2
tega,-5
berdenyut,-3
kayaknya,-3
sibuk,-3
ringan tangan,-1
bergelora,-2
sampai rasa,-2
energik,-1
membara,-3
berkobar-kobar,-2
menyala,-2
mentolo,-2
sampai hati,-2
bersungguh-sungguh,-1
tren,-2
menyembur,-3
imbas,-4
aliran udara,-1
melesit,-1
rahayu,-2
kemungkinan,-1
menggusari,-3
mencurat,-1
memarahi,-5
topan,-3
tembis,-3
mendamprat,-4
suak,-2
bongsor,-2
bias,-2
rajaman,-4
rantus,-3
gentas,-2
nanya,-1
melelah,-3
bosen,-4
maksudnya,-1
bersusah hati,-5
berkabung,-5
receh,-4
bermuram durja,-5
pls,-3
berlara-lara,-4
opp,-1
seneng,-1
bersungkawa,-3
bersusah,-5
peluk,-3
tt,-2
menepis,-3
obsesi,-2
dekap,-2
gausah,-4
sengsara,-5
buru-buru,-3
kencang,-3
kilat,-2
begini,-1
akas,-2
mendahului,-1
mengadang,-3
suruh,-2
terampil,-3
pesat,-2
sebat,-3
sput,-2
filsafat,-3
dogma,-3
imut,-1
doktrin,-3
lapar,-5
dominan,-2
masif,-3
keliatan,-1
keras tulang,-2
tangguh,-2
keseser,-4
maksa,-5
bertanduk,-2
luput,-3
jaman,-2
menggeliat,-3
tumpas,-4
keok,-2
tercecer,-3
beterbangan,-3
berpengaruh,-2
lipur,-2
bedegap,-2
besar lengan,-2
gelibat,-2
suka cita,-1
pacaran,-3
bersemangat,-1
berbahagia,-1
berdesir,-2
tersuntuk,-4
adek,-1
block,-4
pening,-3
apanya,-3
kliyengan,-4
pusing,-4
jenguk,-2
akunya,-1
runyam,-5
luyu,-1
mikir,-3
elusif,-2
kuat (dugaan),-2
memihak,-3
boong,-4
tandang,-2
kesian,-3
sayu,-3
cenderung,-2
selit-belit,-3
preseden,-2
miss,-4
napa,-2
ikutan,-3
baik-baik,-1
kesel,-5
intensif,-4
closed,-3
maap,-3
maafkan,-3
kalem,-2
ndak,-3
rantaian,-3
pinter,-1
mesti,-3
diserang,-4
benak kepala,-3
otak,-3
daya pikir,-2
wajib,-2
dedengkot,-2
ketagihan,-3
bogem mentah,-5
gila-gilaan,-3
nanti,-2
coretan,-1
sebenernya,-1
halah,-5
alay,-4
gergaji,-1
kemasukan,-3
berbayar,-3
tukang,-2
memotong,-3
bayar,-3
curhat,-3
beri (uang),-2
kesusupan,-2
pakar,-1
kawaei,-2
kebabaran,-2
berjatuhan,-3
runtuh,-5
terperenyak,-4
penggentaran,-4
tanya,-2
pailit,-5
tersingkir,-5
melorot,-4
menetes,-3
roboh,-5
tercebur,-5
membiak,-3
terjeblos,-4
menggelincir,-3
rebah,-3
nyesel,-5
biasin,-3
terjun,-3
perusuhan,-4
kedapatan,-2
tertangkap tangan,-4
terpelanting,-3
melubangi,-3
tercemplung,-4
jeblos,-4
diem,-3
tepergok,-5
kayanya,-2
terbanting,-3
tertangkap basah,-3
membabar,-1
terjerembab,-2
luruh,-2
tergelincir,-3
terbuang,-2
berhenti (tugas),-2
gogrok,-3
jelabak,-3
menyembul,-3
cape,-4
cuat,-3
unjuk,-3
menyongsong,-2
kesebalikan,-2
sekutu,-3
kekang,-4
mengelukan,-2
berasa,-2
temenan,-2
purnama,-3
ekstrem,-4
pendahuluan,-1
inklusif,-2
kebaca,-1
revolusioner,-1
asak,-3
lelang,-3
permulaan,-3
radikal,-4
berjejal,-3
begah,-2
telak,-3
telik,-2
hati-hati,-3
ingat-ingat,-3
jaga-jaga,-3
entah-berentah,-3
tajam mata,-1
kelih,-3
please,-3
tae,-4
awas,-3
si dia,-3
gaboleh,-4
denger,-3
disuruh,-2
waspada,-3
entah,-3
pelit,-5
kial,-4
nemu,-2
kroni,-3
bot,-2
cute,-1
rekan,-2
sepihak,-3
wacana,-3
tengok,-2
subang,-1
komplot,-4
giwang,-1
melendeh,-3
bersimpuh,-3
mengogah,-3
menggelesot,-3
menumpang tinggal,-4
kuliah,-2
bulan,-1
bersemayam,-3
ampas (kopi),-2
menikah,-2
manja,-3
polos,-2
bercokol,-4
cokol,-4
sia,-5
esok,-2
maneh,-3
himpit,-4
tindas,-5
pilih,-2
ngasih,-2
kehebohan,-3
pilih-pilih,-3
bete,-5
payudara,-3
man,-1
tetek,-4
keonaran,-5
buah dada,-3
biarin,-3
kegemparan,-4
dempet,-3
sebel,-5
ucap,-2
bergas,-2
bergadang,-4
kawal,-2
berpengalaman,-1
sadar,-1
dukacarita,-4
apasih,-4
gugah,-1
bertindik,-3
drama duka,-4
pindah,-3
oma,-2
penderitaan,-5
menugaskan,-1
asri,-3
borak,-4
kepedihan,-5
pulak,-2
menyunduk,-3
rawat,-3
buyut,-3
tragedi,-5
kecek,-3
andal,-1
kesialan,-5
kismat,-2
daya muat,-2
mengamuk,-5
suratan takdir,-3
kemalangan,-5
kegeruhan,-4
iyain,-2
dikatain,-3
duluan,-2
pokoknya,-3
daya tampung,-2
daya serap,-2
kenahasan,-2
keberuntungan,-1
bahala,-3
gerhana,-2
sedi,-2
bersengaja,-2
segitu,-3
php,-4
fk,-4
tendas,-4
dikira,-3
gabut,-5
statis,-3
pasif,-3
membatu,-2
hiatus,-2
stagnan,-3
membisu,-3
membiarkan,-3
gasuka,-4
lepaskan,-2
rasa,-2
huhuhu,-2
bungkam,-4
kosong,-4
bajing,-5
rasa hati,-2
mendiamkan,-3
tertegun,-3
kaget,-3
cabe,-2
sugesti,-3
kuota,-2
lengang,-4
tengkulak,-5
campakkan,-4
syur,-3
bersanggama,-2
sepi,-3
naon,-2
berteduh,-2
mematung,-3
keluarkan,-3
memaafkan,-3
menutup mulut,-3
terperanjat,-3
melanyak,-3
menghinakan,-5
melancarkan,-2
menistakan,-5
leave,-3
melicinkan,-2
murah,-2
spam,-3
mentang,-3
kepo,-3
tobat,-2
mentang-mentang,-4
meringankan,-1
astagfirullah,-4
memudahkan,-1
titip api,-1
mencebikkan,-3
fokus,-2
menahankan,-2
resistan,-2
mengentengkan,-2
astaga,-4
maapin,-4
berat tangan,-4
berat hati,-4
lembam,-4
macem,-2
realitas,-3
alpa,-3
yauda,-4
gigit,-2
ihhh,-4
sorang,-2
berat pinggul,-2
merasa,-2
milih,-2
kerubut,-3
penyebab,-3
kempes,-4
bye,-3
mengerubungi,-3
bertuntun,-2
ketauan,-4
serah,-3
wabah,-5
uar-uar,-3
wara-wara,-3
mengeroyok,-4
istirahat,-2
gajadi,-3
dirimu,-1
ati,-1
love,-3
ngerasa,-2
jelus,-2
timbalan,-2
dajal,-5
artistik,-2
mukhlis,-2
tentangan,-2
mbeling,-2
rame,-2
iri,-4
ngeselin,-5
ngatain,-5
ganjaran,-5
